year,poverty_percent,yearly_change
2011,10.0,
2012,9.4,-0.5999999999999996
2013,8.7,-0.7000000000000011
2014,8.8,0.10000000000000142
2015,8.9,0.09999999999999964
2016,8.5,-0.40000000000000036
2017,7.6,-0.9000000000000004
2018,6.7,-0.8999999999999995
2019,6.5,-0.20000000000000018
2020,6.1,-0.40000000000000036
2021,5.7,-0.39999999999999947
2022,4.8,-0.9000000000000004
2023,4.4,-0.39999999999999947
2024,4.0,-0.40000000000000036
