disease,year,cases
новообразования,2023,13.38243320914894
"болезни крови, кроветворных органов 
и отдельные нарушения, вовлекающие иммунный механизм",2023,1.0374050096042615
"болезни эндокринной системы, расстройства питания и нарушения обмена веществ",2023,8.68805746330936
болезни нервной системы,2023,9.216891769130536
болезни глаза и его придаточного аппарата,2023,27.920272629244263
болезни уха и сосцевидного отростка,2023,22.393641799697345
болезни системы кровообращения,2023,18.5027254925636
болезни органов дыхания,2023,326.0014390204605
болезни органов пищеварения,2023,14.546980894698974
болезни кожи и подкожной клетчатки,2023,45.54252175956626
болезни костно-мышечной системы и соединительной ткани,2023,16.712596228303756
болезни мочеполовой системы,2023,33.9615684789767
"беременность, роды и послеродовой период2)",2023,56.0
"врожденные аномалии (пороки развития), деформации и хромосомные нарушения",2023,1.1776504658152651
"травмы, отравления и некоторые другие последствия воздействия внешних причин",2023,89.55331327033588
Все болезни,2024,8905373.0
некоторые инфекционные и паразитарные болезни,2024,284789.0
новообразования,2024,196220.0
"болезни крови, кроветворных органов 
и отдельные нарушения, вовлекающие иммунный механизм",2024,15882.0
"болезни эндокринной системы, расстройства питания и нарушения обмена веществ",2024,141799.0
болезни нервной системы,2024,107382.0
болезни глаза и его придаточного аппарата,2024,393486.0
болезни уха и сосцевидного отростка,2024,310447.0
болезни системы кровообращения,2024,308378.0
болезни органов дыхания,2024,3964083.0
болезни органов пищеварения,2024,190985.0
болезни кожи и подкожной клетчатки,2024,601403.0
"болезни костно-мышечной системы 
и соединительной ткани",2024,245869.0
болезни мочеполовой системы,2024,489909.0
"беременность, роды и послеродовой период",2024,188800.0
"врожденные аномалии (пороки развития), деформации и хромосомные нарушения",2024,15137.0
"травмы, отравления и некоторые другие последствия воздействия внешних причин",2024,1210246.0
Все болезни,2024,674.0
некоторые инфекционные и паразитарные болезни,2024,21.6
новообразования,2024,14.9
"болезни крови, кроветворных органов 
и отдельные нарушения, вовлекающие иммунный механизм",2024,1.2
"болезни эндокринной системы, расстройства питания и нарушения обмена веществ",2024,10.7
болезни нервной системы,2024,8.1
болезни глаза и его придаточного аппарата,2024,29.8
болезни уха и сосцевидного отростка,2024,23.5
болезни системы кровообращения,2024,23.3
болезни органов дыхания,2024,300.0
болезни органов пищеварения,2024,14.5
болезни кожи и подкожной клетчатки,2024,45.5
болезни костно-мышечной системы и соединительной ткани,2024,18.6
болезни мочеполовой системы,2024,37.1
"врожденные аномалии (пороки развития), деформации и хромосомные нарушения",2024,1.1
"травмы, отравления и некоторые другие последствия воздействия внешних причин",2024,91.6
